ds,yhat,yhat_lower,yhat_upper
2024-01-01,122.84325087132589,111.78086955914763,135.57328324010498
2024-01-02,123.2814934049491,110.9910334698826,136.17662862328322
2024-01-03,125.36675130645439,113.05388671943767,137.045138812564
2024-01-04,125.05624690312328,112.85805813889479,137.45338652292327
2024-01-05,124.87018202001278,112.3321159580427,137.2463081835503
2024-01-06,128.6740147291563,116.41217585745682,140.61685864807765
2024-01-07,126.47648922673487,114.53374416571013,139.1629500588848
2024-01-08,124.6074817883088,112.15764586906646,136.3901457065747
2024-01-09,125.10658574546376,113.74393728376025,138.0309107606907
2024-01-10,127.21371838176806,114.97536087078446,139.19103384372363
2024-01-11,126.87792594602759,115.00249474508412,139.4495821205789
2024-01-12,126.61208674000578,113.98403938220554,139.076314138769
2024-01-13,130.27547246080414,117.99483157884775,141.89553735740756
2024-01-14,127.872031693374,115.87596213883371,140.72893635231333
2024-01-15,125.72845025144441,112.55824300730772,137.06626528821727
2024-01-16,125.8829042707697,113.13710998077033,137.81115611355827
2024-01-17,127.57578332510911,116.08847548118833,140.41133493921214
2024-01-18,126.75855572853034,113.54285695699792,139.60759202945843
2024-01-19,125.94847365179812,112.85897258339124,136.82725680868998
2024-01-20,129.01107767888922,117.23288967702388,141.6075454058484
2024-01-21,125.95836593299872,114.6029096858286,138.8719986164399
2024-01-22,123.1266854536986,110.5583340464871,135.49285796801578
2024-01-23,122.56526636239722,110.1926777660525,135.01661121450917
2024-01-24,123.5266822382453,111.00967759483792,135.1587513513166
2024-01-25,121.97541633853984,109.73552293264514,133.91232161755153
2024-01-26,120.44223986395764,108.91647316970831,132.547228080409
2024-01-27,122.80637129839782,110.54836779034048,134.5219077833516
2024-01-28,119.09329192060508,107.1057578099585,130.0915688478595
2024-01-29,115.65228538636597,103.11843356186144,128.21498022179043
2024-01-30,114.54463208880686,102.52264605418911,126.27613486123236
2024-01-31,115.03375153698292,102.84749229542554,127.33157396360482
2024-02-01,114.08956112186885,101.72052506455924,126.71434152763757
2024-02-02,112.25828836505882,99.58961471068379,124.1769984829745
2024-02-03,114.42090619583905,102.29497541196928,127.33285869909639
2024-02-04,110.60648087852813,98.03531622792444,122.32955582365005
2024-02-05,107.16569811022751,95.12715186855515,119.75110033739614
2024-02-06,106.15902320427801,94.17750040127507,118.83933381765927
2024-02-07,106.84686896383452,95.31421323276798,119.31416603144578
2024-02-08,105.19795924800036,93.32206479272914,116.87259348015412
2024-02-09,103.74360001425555,91.4207045906066,116.32472290795914
2024-02-10,106.359829808385,94.515914035597,119.25190081530415
2024-02-11,103.06532483224782,90.68307307212608,114.79462117158702
2024-02-12,100.19912369879421,88.10806961529626,112.76523396969654
2024-02-13,99.8090970451516,87.149187640975,112.49105790610005
2024-02-14,101.14244713928201,89.91884985219266,113.82759864366032
2024-02-15,100.15441586745479,88.25943073004869,112.65399822541521
2024-02-16,99.36290313984685,86.6689216455071,111.63950035262046
2024-02-17,102.63095780891786,90.55039859376548,114.73126962004683
2024-02-18,99.96500669140119,86.82666495786187,112.3821183311525
2024-02-19,97.69287780381075,85.31518385464841,110.58990942603079
2024-02-20,97.85253484795305,84.90354186907311,110.04794793428286
2024-02-21,99.68280095472316,88.04677066247281,112.0064036222287
2024-02-22,99.13224424687888,86.42883661033204,110.93582813876026
2024-02-23,98.71392283996902,86.33850789344335,110.3760812822588
2024-02-24,102.28794850145033,90.10558185622139,114.07389781915221
2024-02-25,99.85973329588188,87.61396735876893,112.55779482253341
2024-02-26,97.75797571389128,85.5743192736884,110.3763668627228
2024-02-27,98.0233052788704,85.3894246307987,110.14485943620046
2024-02-28,99.89886718321323,87.79207195074564,111.98646462758366
